title,year_release,earnings,country,type_of_subject,lead_actor_actress,lead_actor_actress_known
American Sniper,2014,350.0,US,Military,Bradley Cooper,True
The Blind Side,2009,256.0,US,Athlete,Quinton Aaron,True
Lincoln,2012,182.0,US,World leader,Daniel Day-Lewis,True
A Beautiful Mind,2001,171.0,US,Academic,Russell Crowe,True
Catch Me If You Can,2002,164.0,US/Canada,Criminal,Leonardo DiCaprio,True
The Pursuit of Happyness,2006,163.0,US,Other,Will Smith,True
The King's Speech,2010,139.0,US/UK,Historical,Colin Firth,True
Patch Adams,1998,135.0,US,Medicine,Robin Williams,True
American Gangster,2007,130.0,US/UK,Criminal,Denzel Washington,True
Erin Brockovich,2000,126.0,US,Activist,Julia Roberts,True
Lone Survivor,2013,125.0,US,Military,Mark Wahlberg,True
Walk the Line,2005,120.0,US,Musician,Joaquin Phoenix,True
The Wolf of Wall Street,2013,117.0,US,Criminal,Leonardo DiCaprio,True
Lee Daniels' The Butler,2013,117.0,US,Other,Forest Whitaker,True
Unbroken,2014,116.0,US,Athlete / military,Jack O'Connell,True
Remember the Titans,2000,116.0,US,Athlete,Denzel Washington,True
Captain Phillips,2013,107.0,US,Military,Tom Hanks,True
The Aviator,2004,103.0,US,Other,Leonardo DiCaprio,True
The Prince of Egypt,1998,101.0,US,Historical,Val Kilmer,True
The Prince of Egypt,1998,101.0,US,Historical,Ralph Fiennes,True
Public Enemies,2009,97.0,US,Criminal,Johnny Depp,True
The Social Network,2010,96.9,US,Other,Jesse Eisenberg,True
Schindler's List,1993,96.1,US,Other,Liam Neeson,True
42,2013,95.0,US,Athlete,Chadwick Boseman,True
Julie & Julia,2009,94.1,US,Other,Amy Adams,True
Julie & Julia,2009,94.1,US,Other,Meryl Streep,True
The Fighter,2010,93.6,US,Athlete,Mark Wahlberg,True
The Imitation Game,2014,91.1,US/UK,Academic,Benedict Cumberbatch,True
Dangerous Minds,1995,84.9,US,Teacher,Michelle Pfeiffer,True
Saving Mr. Banks,2013,83.3,US/UK,Author,Emma Thompson,True
Saving Mr. Banks,2013,83.3,US/UK,Other,Tom Hanks,True
21,2008,81.2,US,Other,Jim Sturgess,True
Moneyball,2011,75.6,US,Athlete,Brad Pitt,True
Braveheart,1995,75.6,US,Military,Mel Gibson,True
Ray,2004,75.3,US,Musician,Jamie Foxx,True
Charlie Wilson's War,2007,66.6,US,Military,Tom Hanks,True
Exodus: Gods and Kings,2014,65.0,UK,Historical,Christian Bale,True
Miracle,2004,64.4,US,Athlete,Kurt Russell,True
Cinderella Man,2005,61.6,US,Athlete,Russell Crowe,True
Son of God,2014,59.7,US,Historical,Diogo Morgado,True
Ali,2001,58.2,US,Athlete,Will Smith,True
Invincible,2006,57.8,US,Athlete,Mark Wahlberg,True
12 Years a Slave,2013,56.7,US/UK,Other,Chiwetel Ejiofor,True
The Queen,2006,56.4,US/UK,Historical,Helen Mirren,True
Blow,2001,52.9,US,Criminal,Johnny Depp,True
Radio,2003,52.3,US,Athlete,Cuba Gooding Jr,True
Radio,2003,52.3,US,Athlete,Ed Harris,True
Awakenings,1990,52.1,US,Medicine,Robin Williams,True
Selma,2014,52.1,US/UK,Activist,David Oyelowo,True
Finding Neverland,2004,51.7,US/UK,Author,Johnny Depp,True
The Hurricane,1999,50.7,US,Athlete,Denzel Washington,True
Evita,1996,50.0,US,Actress / activist,Madonna,True
Bugsy,1991,49.1,US,Criminal,Warren Beatty,True
Men of Honor,2000,48.8,US,Athlete,Cuba Gooding Jr,True
Malcolm X,1992,48.2,US,Activist,Denzel Washington,True
Jersey Boys,2014,47.0,US,Musician,John Lloyd Young,True
Jersey Boys,2014,47.0,US,Musician,Erich Bergen,True
Jersey Boys,2014,47.0,US,Musician,Michael Lomenda,True
Jersey Boys,2014,47.0,US,Musician,Vincent Piazza,True
Goodfellas,1990,46.8,US,Criminal,Ray Liotta,True
Soul Surfer,2011,43.9,US,Athlete,AnnaSophia Robb,True
Glory Road,2006,42.6,US,Athlete,"With: Josh Lucas, Derek Luke, Austin Nichols",True
Casino,1995,42.4,US,Criminal,Robert De Niro,True
Donnie Brasco,1997,42.0,US,Government,Johnny Depp,True
Private Parts,1997,41.2,US,Media,Howard Stern,True
What's Love Got to Do with It,1993,39.1,US,Singer,Angela Bassett,True
Seven Years in Tibet,1997,37.9,US/UK,Other,Brad Pitt,True
Wild,2014,37.9,US,Other,Reese Witherspoon,True
Philomena,2013,37.7,US/UK,Other,Judi Dench,True
Invictus,2009,37.5,US,Athlete,Matt Damon,True
Invictus,2009,37.5,US,World leader,Morgan Freeman,True
J. Edgar,2011,37.3,US,Government,Leonardo DiCaprio,True
Notorious,2009,36.8,US,Musician,Jamal Woolard,True
Freedom Writers,2007,36.6,US,Other,Hilary Swank,True
Million Dollar Arm,2014,36.4,US,Athlete,Jon Hamm,True
The Theory of Everything,2014,35.9,UK,Academic,Eddie Redmayne,True
Selena,1997,35.4,US,Singer,Jennifer Lopez,True
The Doors,1991,35.2,US,Singer,Vil Kilmer,True
Dragon: The Bruce Lee Story,1993,35.1,US,Athlete,Jason Scott Lee,True
Man on the Moon,1999,34.6,US/UK,Comedian,Jim Carrey,True
Monster,2003,34.5,US,Criminal,Charlize Theron,True
Alexander,2004,34.3,US/UK,Historical,Colin Farrell,True
Breach,2007,33.0,US,Criminal,Chris Cooper,True
October Sky,1999,32.5,US,Other,Jake Gyllenhaal,True
The Pianist,2002,32.5,UK,Musician,Adrien Brody,True
Milk,2008,31.8,US,Activist,Sean Penn,True
The Soloist,2009,31.7,US/UK,Media,"Robert Downey, Jr.",True
The Soloist,2009,31.7,US/UK,Musician,Jamie Foxx,True
Rob Roy,1995,31.6,US/UK,Other,Liam Neeson,True
Get Rich or Die Tryin',2005,31.0,US/Canada,Singer,50 Cent,True
Get on Up,2014,30.5,US/UK,Singer,Chadwick Boseman,True
Open Water,2003,30.5,US,Other,Blanchard Ryan,True
Open Water,2003,30.5,US,Other,Daniel Travis,True
The Great Debaters,2007,30.2,US,Academic,Denzel Washington,True
Elizabeth,1998,30.0,US/UK,Historical,Cate Blanchett,True
The Iron Lady,2011,30.0,UK,World leader,Meryl Streep,True
Riding in Cars with Boys,2001,29.8,US,Other,Drew Barrymore,True
The Insider,1999,29.0,US,Activist,Russell Crowe,True
"Girl, Interrupted",1999,28.9,US,Author,Winona Ryder,True
Capote,2005,28.7,US/Canada,Author,Philip Seymour Hoffman,True
Dallas Buyers Club,2013,27.3,US,Activist,Matthew McConaughey,True
Rush,2013,26.9,US/UK,Athlete,Daniel BrÌ_hl,True
Rush,2013,26.9,US/UK,Athlete,Chris Hemsworth,True
The Other Boleyn Girl,2008,26.8,US/UK,Historical,Natalie Portman,True
The Other Boleyn Girl,2008,26.8,US/UK,Historical,Scarlett Johansson,True
Shadowlands,1993,25.8,UK,Author (poet),Debra Winger,True
Frida,2002,25.8,US/Canada,Artist,Salma Hayek,True
Shadowlands,1993,25.8,UK,Author,Anthony Hopkins,True
W.,2008,25.5,US,World leader,Josh Brolin,True
Wyatt Earp,1994,25.1,US,Other,Kevin Costner,True
In the Name of the Father,1993,25.0,US/UK,Other,Daniel Day-Lewis,True
Hoffa,1992,24.3,US,Activist,Jack Nicholson,True
Rudy,1993,22.8,US,Athlete,Sean Astin,True
Amazing Grace,2006,21.2,US/UK,Other,Ioan Gruffudd,True
Antwone Fisher,2002,21.1,US,Military,Derek Luke,True
The People vs. Larry Flynt,1996,20.2,US,Activist,Woody Harrelson,True
Fire in the Sky,1993,20.1,US,Other,D.B. Sweeney,True
8 Seconds,1994,19.6,US,Athlete,Luke Perry,True
Becoming Jane,2007,18.7,UK,Author,Anne Hathaway,True
Into the Wild,2007,18.4,US,Athlete,Emile Hirsch,True
127 Hours,2010,18.3,US/UK,Athlete,James Franco,True
The Last King of Scotland,2006,17.6,UK,Other,Forest Whitaker,True
The Babe,1992,17.5,US,Athlete,John Goodman,True
The Motorcycle Diaries,2004,16.8,US/UK,Activist,Gael GarcÌ_a Bernal,True
Elizabeth: The Golden Age,2007,16.3,US/UK,Historical,Cate Blanchett,True
Fruitvale Station,2013,16.1,US,Other,Michael B. Jordan,True
Jobs,2013,16.1,US,Other,Ashton Kutcher,True
Marie Antoinette,2006,16.0,US,Historical,Kirsten Dunst,True
Reversal of Fortune,1990,15.4,US/UK,Other,Jeremy Irons,True
Reversal of Fortune,1990,15.4,US/UK,Other,Glenn Close,True
Alpha Dog,2006,15.2,US,Criminal,Emile Hirsch,True
The Madness of King George,1994,15.2,UK,Historical,Nigel Hawthorne,True
My Week with Marilyn,2011,14.6,US/UK,Actress,Michelle Williams,True
In Love and War,1996,14.5,US,Media,Chris O'Donnell,True
Big Eyes,2014,14.5,US/Canada,Artist,Amy Adams,True
In Love and War,1996,14.5,US,Other,Sandra Bullock,True
Immortal Beloved,1994,14.4,US/UK,Musician,Gary Oldman,True
Hollywoodland,2006,14.4,US,Actor,Ben Affleck,True
Amelia,2009,14.2,US/Canada,Other,Hilary Swank,True
The Duchess,2008,13.8,US/UK,Other,Keira Knightley,True
Nixon,1995,13.6,US,World leader,Anthony Hopkins,True
One Night with the King,2006,13.4,US,Historical,Tiffany Dupont,True
De-Lovely,2004,13.3,US/UK,Musician,Kevin Kline,True
American Me,1992,13.1,US,Criminal,Edward James Olmos,True
The New World,2005,12.7,US/UK,Historical,Q'orianka Kilcher,True
Why Do Fools Fall in Love,1998,12.4,US,Musician,Larenz Tate,True
Foxcatcher,2014,12.1,US,Athlete,Channing Tatum,True
Girl with a Pearl Earring,2003,11.6,UK,Artist,Colin Firth,True
Henry & June,1990,11.6,US,Author,Maria de Medeiros,True
Henry & June,1990,11.6,US,Author,Fred Ward,True
Henry & June,1990,11.6,US,Other,Uma Thurman,True
The Longshots,2008,11.5,US,Athlete,Keke Palmer,True
Boys Don't Cry,1999,11.5,US,Other,Hilary Swank,True
Michael Collins,1996,11.0,US/UK,Activist,Liam Neeson,True
Lords of Dogtown,2005,11.0,US,Athlete,Victor Rasuk,True
Lords of Dogtown,2005,11.0,US,Athlete,Emile Hirsch,True
Lords of Dogtown,2005,11.0,US,Athlete,John Robinson,True
The Young Victoria,2009,11.0,US/UK,Historical,Emily Bunt,True
La Vie en Rose,2007,10.3,Canada/UK,Singer,Marion Cotillard,True
Kinsey,2004,10.2,US,Academic,Liam Neeson,True
Domino,2005,10.1,US/UK,Other,Keira Knightley,True
The Express,2008,9.59,US,Athlete,Rob Brown,True
Fair Game,2010,9.53,US,Government,Naomi Watts,True
Chaplin,1992,9.49,US,Comedian,Robert Downey Jr.,True
Love & Mercy,2014,9.26,US,Musician,John Cusack,True
Mrs Brown,1997,9.22,US/UK,Historical,Judi Dench,True
A Mighty Heart,2007,9.17,US/UK,Journalist,Angelina Jolie,True
A Mighty Heart,2007,9.17,US/UK,Journalist,Dan Futterman,True
Pollock,2000,8.6,US,Artist,Ed Harris,True
Mandela: Long Walk to Freedom,2013,8.32,UK,World leader,Idris Elba,True
Christopher Columbus: The Discovery,1992,8.25,US/UK,Other,Georges Corraface,True
Cadillac Records,2008,8.13,US,Singer,BeyoncÌ© Knowles,True
Cadillac Records,2008,8.13,US,Musician,Adrien Brody,True
Cadillac Records,2008,8.13,US,Musician,Jeffrey Wright,True
El cantante,2006,7.56,US,Musician,Marc Anthony,True
Searching for Bobby Fischer,1993,7.27,US,Other,Max Pomeranc,True
Quills,2000,7.06,US/UK,Criminal,Geoffrey Rush,True
Conviction,2010,6.78,US,Other,Hilary Swank,True
The Last Station,2009,6.62,UK,Author,Christopher Plummer,True
Gods and Monsters,1998,6.39,US/UK,Other,Ian McKellen,True
Hyde Park on Hudson,2012,6.37,UK,Other,Laura Linney,True
Hyde Park on Hudson,2012,6.37,UK,World leader,Bill Murray,True
Topsy-Turvy,1999,6.2,US/UK,Author,Jim Broadbent,True
Topsy-Turvy,1999,6.2,US/UK,Musician,Allan Corduner,True
The Straight Story,1999,6.2,US/UK,Other,Richard Farnsworth,True
Beyond the Sea,2004,6.14,US/UK,Musician,Kevin Spacey,True
Chasing Mavericks,2012,6.0,US,Athlete,Jonny Weston,True
American Splendor,2003,6.0,US,Comedian,Paul Giamatti,True
Hitchcock,2012,6.0,US/UK,Other,Anthony Hopkins,True
The Sessions,2012,6.0,US,Medicine,John Hawkes,True
Hitchcock,2012,6.0,US/UK,Other,Helen Mirren,True
The Diving Bell and the Butterfly,2007,5.99,US,Media,Mathieu Amalric,True
Ed Wood,1994,5.89,US,Other,Johnny Depp,True
Against the Ropes,2004,5.88,US,Athlete,Meg Ryan,True
Heaven & Earth,1993,5.86,US,Other,Hiep Thi Le,True
A Dangerous Method,2011,5.7,Canada/UK,Academic,Michael Fassbender,True
A Dangerous Method,2011,5.7,Canada/UK,Academic,Keira Knightley,True
A Dangerous Method,2011,5.7,Canada/UK,Academic,Viggo Mortensen,True
Luther,2003,5.67,US,Historical,Joseph Fiennes,True
Cesar Chavez,2014,5.55,US,Activist,Michael PeÌ±a,True
Kundun,1997,5.53,US,Activist,Tenzin Thuthob Tsarong,True
Rescue Dawn,2006,5.48,US,Military,Christian Bale,True
The World's Fastest Indian,2005,5.13,US,Athlete,Anthony Hopkins,True
Bubble Boy,2001,5.0,US,Medicine,Jake Gyllenhaal,True
The Lover,1992,4.9,UK,Other,Jane March,True
Hilary and Jackie,1998,4.87,UK,Musician,Emily Watson,True
Hilary and Jackie,1998,4.87,UK,Musician,Rachel Griffiths,True
The Other Side of Heaven,2001,4.72,US,Other,Christopher Gorham,True
Thirteen,2003,4.6,US,Other,Evan Rachel Wood,True
Thirteen,2003,4.6,US,Other,Holly Hunter,True
Dangerous Beauty,1998,4.53,US,Other,Catherine McCormack,True
Talk to Me,2007,4.47,US,Activist,Don Cheadle,True
Persepolis,2007,4.44,US,Activist,Chiara Mastroianni,True
Bright Star,2009,4.44,UK,Other,Abbie Cornish,True
Bright Star,2009,4.44,UK,Author (poet),Ben Whishaw,True
The Railway Man,2013,4.44,UK,Military,Colin Firth,True
Catch a Fire,2006,4.29,US/UK,Activist,Derek Luke,True
Flash of Genius,2008,4.23,US/Canada,Other,Greg Kinnear,True
Before Night Falls,2000,4.22,US,Activist,Javier Bardem,True
This Boy's Life,1993,4.1,US,Other,Leonardo DiCaprio,True
Restoration,1995,4.1,US/UK,Historical,Sam Neill,True
Impromptu,1991,4.08,UK,Other,Judy Davis,True
Impromptu,1991,4.08,UK,Musician,Hugh Grant,True
The Visual Bible: The Gospel of John,2003,4.07,Canada/UK,Historical,Henry Ian Cusick,True
I'm Not There.,2007,4.0,US/Canada,Musician,-,True
Mr. Turner,2014,3.96,UK,Artist,Timothy Spall,True
The Assassination of Jesse James by the Coward Robert Ford,2007,3.9,US/UK/Canada,Criminal,Casey Affleck,True
The Assassination of Jesse James by the Coward Robert Ford,2007,3.9,US/UK/Canada,Criminal,Brad Pitt,True
The Runaways,2010,3.57,US,Musician,Kristen Stewart,True
The Runaways,2010,3.57,US,Musician,Dakota Fanning,True
Squanto: A Warrior's Tale,1994,3.34,US,Historical,Adam Beach,True
The Fifth Estate,2013,3.25,US,Other,Benedict Cumberbatch,True
Carrington,1995,3.24,UK,Author,Jonathan Pryce,True
Carrington,1995,3.24,UK,Artist,Emma Thompson,True
Rosewater,2014,3.09,US,Media,Gael GarcÌ_a Bernal,True
Miss Potter,2006,2.98,US/UK,Author,RenÌ©e Zellweger,True
Gracie,2007,2.96,US,Athlete,Carly Schroeder,True
Basquiat,1996,2.96,US,Artist,Jeffrey Wright,True
Isn't She Great,2000,2.95,US/UK,Author,Bette Midler,True
Bobby Jones: Stroke of Genius,2004,2.69,US,Athlete,Jim Caviezel,True
My One and Only,2009,2.48,US,Other,Logan Lerman,True
Jefferson in Paris,1995,2.47,US,Historical,Nick Nolte,True
Kill the Messenger,2014,2.45,US,Media,Jeremy Renner,True
The Basketball Diaries,1995,2.42,US,Author,Leonardo DiCaprio,True
Backbeat,1994,2.39,UK,Musician,Ian Hart,True
Backbeat,1994,2.39,UK,Musician,Stephen Dorff,True
Vincent & Theo,1990,2.23,UK,Artist,Tim Roth,True
Vincent & Theo,1990,2.23,UK,Other,Paul Rhys,True
Wild Bill,1995,2.17,US,Historical,Jeff Bridges,True
Wilde,1997,2.16,UK,Author,Stephen Fry,True
Mrs. Parker and the Vicious Circle,1994,2.14,US/Canada,Author,Jennifer Jason Leigh,True
Auto Focus,2002,2.06,US,Actor,Greg Kinnear,True
The Krays,1990,2.06,UK,Criminal,"With: Gary Kemp, Martin Kemp, Billie Whitelaw",True
The Krays,1990,2.06,UK,Criminal,,False
I Love You Phillip Morris,2009,2.04,US,Criminal,Jim Carrey,True
Surviving Picasso,1996,1.99,US,Artist,Natascha McElhone,True
The Iceman,2012,1.94,US,Criminal,Michael Shannon,True
I Shot Andy Warhol,1996,1.81,US/UK,Activist,Lil Taylor,True
Che: Part One,2008,1.73,US,Activist,Benicio Del Toro,True
Blue,1993,1.72,UK,Other,Derek Jarman,True
A Home of Our Own,1993,1.7,US,Other,Kathy Bates,True
Factory Girl,2006,1.65,US,Actress,Sienna Miller,True
Thirty Two Short Films About Glenn Gould,1993,1.57,Canada,Musician,Colm Feore,True
Veronica Guerin,2003,1.57,US/UK,Media,Cate Blanchett,True
Nowhere Boy,2009,1.45,Canada/UK,Musician,Aaron Taylor-Johnson,True
PiÌ±ero,2001,1.42,US,Actor,Benjamin Bratt,True
The Notorious Bettie Page,2005,1.41,US,Other,Gretchen Mol,True
Sylvia,2003,1.3,UK,Author (poet),Daniel Craig,True
Sylvia,2003,1.3,UK,Author (poet),Gwyneth Paltrow,True
The Best Intentions,1992,1.3,UK,Other,"With: Samuel FrÌÄå¦ler, Pernilla August, Max von Sydow",True
The Best Intentions,1992,1.3,UK,Other,,False
The Invisible Woman,2013,1.23,UK,Author,Ralph Fiennes,True
The General,1998,1.21,UK,Criminal,Brendan Gleeson,True
Iris,2001,1.2,US/UK,Author,Judi Dench and Kate Winslet,True
Kill the Irishman,2011,1.19,US,Criminal,Ray Stevenson,True
Find Me Guilty,2006,1.17,US,Criminal,Vin Diesel,True
Permanent Midnight,1998,1.17,US,Comedian,Ben Stiller,True
Infamous,2006,1.15,US,Other,Toby Jones,True
24 Hour Party People,2002,1.13,UK,Musician,Steve Coogan,True
The Whistleblower,2010,1.12,US/Canada,Other,Rachel Weisz,True
An Angel at My Table,1990,1.1,UK,Author,Kerry Fox,True
When Did You Last See Your Father?,2007,1.07,UK,Other,Colin Firth,True
Casino Jack,2010,1.04,Canada,Other,Kevin Spacey,True
Kill Your Darlings,2013,1.03,US,Author,Daniel Radcliffe,True
Cobb,1994,1.01,US,Athlete,Tommy Lee Jones,True
Goya's Ghosts,2006,1.0,US,Artist,Stellan SkarsgÌ´rd,True
Control,2007,0.87,US/UK,Musician,Sam Riley,True
Without Limits,1998,0.78,US,Athlete,Billy Crudup,True
The Assassination of Richard Nixon,2004,0.7,US,Other,Sean Penn,True
Frankie & Alice,2010,0.69,Canada,Other,Halle Berry,True
Testament of Youth,2014,0.67,UK,Other,Alicia Vikander,True
"The Prize Winner of Defiance, Ohio",2005,0.63,US,Other,Julianne Moore,True
My Life So Far,1999,0.62,US/UK,Other,Robert Norman,True
Howl,2010,0.62,US,Author,James Franco,True
Mesrine Part 1: Killer Instinct,2008,0.55,Canada,Criminal,Vincent Cassel,True
Machine Gun Preacher,2011,0.54,US,Other,Gerard Butler,True
Tom & Viv,1994,0.54,US/UK,Author,Miranda Richardson,True
20 Dates,1998,0.54,US,Other,Myles Berkowitz,True
Tom & Viv,1994,0.54,US/UK,Author,Willem Dafoe,True
Prefontaine,1997,0.53,US,Athlete,Jared Leto,True
Little Ashes,2008,0.48,UK,Artist,Robert Pattinson,True
Last Days,2005,0.46,US,Musician,Michael Pitt,True
Callas Forever,2002,0.45,UK,Singer,Fanny Ardant,True
The Damned United,2009,0.45,UK,Athlete,Michael Sheen,True
The 5th Quarter,2010,0.4,US,Athlete,Ryan Merriman,True
Bandit Queen,1994,0.4,UK,Criminal,Seema Biswas,True
Baadasssss!,2003,0.36,US,Actor,Mario Van Peebles,True
Nostradamus,1994,0.36,UK,Historical,TchÌ©ky Karyo,True
Copying Beethoven,2006,0.35,US,Musician,Ed Harris,True
Lovelace,2013,0.35,US,Actress,Amanda Seyfried,True
Total Eclipse,1995,0.34,UK,Author (poet),David Thewlis,True
Total Eclipse,1995,0.34,UK,Author (poet),Leonardo DiCaprio,True
Swoon,1992,0.34,US,Criminal,Daniel Schlachet,True
Swoon,1992,0.34,US,Criminal,Craig Chester,True
Love Is the Devil: Study for a Portrait of Francis Bacon,1998,0.34,US/UK,Artist,Derek Jacobi,True
Creation,2009,0.34,UK,Academic,Paul Bettany,True
The First Grader,2010,0.33,US,Other,Oliver Litondo,True
Diana,2013,0.33,UK,Other,Naomi Watts,True
Grey Owl,1999,0.32,Canada/UK,Other,Pierce Brosnan,True
Jimi: All Is by My Side,2013,0.32,US/UK,Musician,AndrÌ© Benjamin,True
Party Monster,2003,0.3,US,Criminal,Macaulay Culkin,True
Mesrine Part 2: Public Enemy #1,2008,0.28,Canada,Criminal,Vincent Cassel,True
The Last of Robin Hood,2013,0.27,US,Actor,Kevin Kline,True
Sixty Six,2006,0.23,UK,Other,Gregg Sulkin,True
Death in Granada,1996,0.23,US,Author,Andy Garcia,True
Fur: An Imaginary Portrait of Diane Arbus,2006,0.22,US,Other,Nicole Kidman,True
Modigliani,2004,0.2,UK,Artist,Andy Garcia,True
Hunger,2008,0.15,UK,Activist,Michael Fassbender,True
Music Within,2007,0.15,US,Activist,Ron Livingston,True
Infinity,1996,0.15,US,Academic,Matthew Broderick,True
Desert Dancer,2014,0.14,UK,Artist,Reece Ritchie,True
The Whole Wide World,1996,0.14,US,Author,Vincent D'Onofrio,True
The Whole Wide World,1996,0.14,US,Author,RenÌ©e Zellweger,True
I Am a Sex Addict,2005,0.11,US,Actor,Caveh Zahedi,True
Bronson,2008,0.1,UK,Criminal,Tom Hardy,True
Self Medicated,2005,0.1,US,Other,Monty Lapica,True
One Chance,2013,0.09,US/UK,Musician,James Corden,True
Blue Caprice,2013,0.09,US,Criminal,Isaiah Washington,True
Steal This Movie,2000,0.08,US,Activist,Vincent D'Onofrio,True
Killer: A Journal of Murder,1995,0.07,US,Criminal,James Woods,True
Ned Kelly,2003,0.07,US/UK,Criminal,Heath Ledger,True
What We Do Is Secret,2007,0.06,US,Singer,Shane West,True
Vatel,2000,0.05,UK,Other,GÌ©rard Depardieu,True
Swimming Upstream,2003,0.05,US,Athlete,Geoffrey Rush,True
Desert Flower,2009,0.04,UK,Activist,Soraya Omar-Scego (young) and Liya Kebede (older),True
The Red Baron,2008,0.04,UK,Military,Matthias SchweighÌ¦fer,True
Low Down,2014,0.04,US,Musician,John Hawkes,True
The Edge of Love,2008,0.03,UK,Author (poet),Matthew Rhys,True
Pierrepoint: The Last Hangman,2005,0.02,US/UK,Other,Timothy Spall,True
Stander,2003,0.02,Canada/UK,Other,Thomas Jane,True
The Long Day Closes,1992,0.02,UK,Other,Leigh McCormack,True
Monsieur N.,2003,0.02,UK,Historical,Philippe Torreton,True
Behind the Lines,1997,0.02,Canada/UK,Military,James Wilby,True
Nora,2000,0.01,UK,Author,Ewan McGregor,True
Kid Cannabis,2014,0.01,US,Criminal,Jonathan Daniel Brown,True
The Last Time I Committed Suicide,1997,0.01,US,Author,Thomas Jane,True
Ed Gein,2000,0.01,US/UK,Criminal,Steve Railsback,True
The Look of Love,2013,0.01,US/UK,Other,Steve Coogan,True
Nora,2000,0.01,UK,Other,Susan Lynch,True
Set Fire to the Stars,2014,0.0,UK,Author (poet),Celyn Jones,True
