kind,id,selfLink,name,bucket,generation,metageneration,contentType,timeCreated,updated,storageClass,timeStorageClassUpdated,size,md5Hash,mediaLink,crc32c,etag,eventTime,eventType,notificationConfig,payloadFormat,objectGeneration,objectId,bucketId,overwroteGeneration,overwrittenByGeneration
storage#object,data-cube-migration/archive/vmax_raw/vx_customer.csv.gz/1651057785555140,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,1651057785555140,1,text/csv,2022-04-27T11:09:45.660Z,2022-04-27T11:09:45.660Z,STANDARD,2022-04-27T11:09:45.660Z,5924231,NWLD6BqbzeidiO/lgqvIgQ==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz?generation=1651057785555140&alt=media,oNIa5g==,CMSRv8aNtPcCEAE=,2022-04-27T11:09:45.660455Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651057785555140,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,1651057443747389,
storage#object,data-cube-migration/vmax_raw/vx_customer.csv.gz/1651057480159907,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz,vmax_raw/vx_customer.csv.gz,data-cube-migration,1651057480159907,1,text/csv,2022-04-27T11:04:40.247Z,2022-04-27T11:04:40.247Z,STANDARD,2022-04-27T11:04:40.247Z,5924231,NWLD6BqbzeidiO/lgqvIgQ==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz?generation=1651057480159907&alt=media,oNIa5g==,CKOl77SMtPcCEAE=,2022-04-27T11:09:45.885698Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651057480159907,vmax_raw/vx_customer.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/vmax_raw/vx_customer.csv.gz/1651057788133856,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz,vmax_raw/vx_customer.csv.gz,data-cube-migration,1651057788133856,1,text/csv,2022-04-27T11:09:48.222Z,2022-04-27T11:09:48.222Z,STANDARD,2022-04-27T11:09:48.222Z,128272,mM2Yg/1vUiDIoqnIS8aLZw==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz?generation=1651057788133856&alt=media,752IWg==,CODD3MeNtPcCEAE=,2022-04-27T11:09:48.222675Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651057788133856,vmax_raw/vx_customer.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/archive/vmax_raw/vx_customer.csv.gz/1651057886912321,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,1651057886912321,1,text/csv,2022-04-27T11:11:27.013Z,2022-04-27T11:11:27.013Z,STANDARD,2022-04-27T11:11:27.013Z,128272,mM2Yg/1vUiDIoqnIS8aLZw==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz?generation=1651057886912321&alt=media,752IWg==,CMG+6faNtPcCEAE=,2022-04-27T11:11:27.013560Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651057886912321,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,1651057785555140,
storage#object,data-cube-migration/archive/vmax_raw/vx_customer.csv.gz/1651057785555140,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,1651057785555140,1,text/csv,2022-04-27T11:09:45.660Z,2022-04-27T11:09:45.660Z,STANDARD,2022-04-27T11:09:45.660Z,5924231,NWLD6BqbzeidiO/lgqvIgQ==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz?generation=1651057785555140&alt=media,oNIa5g==,CMSRv8aNtPcCEAE=,2022-04-27T11:11:27.013560Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651057785555140,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,,1651057886912321
storage#object,data-cube-migration/vmax_raw/vx_customer.csv.gz/1651057788133856,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz,vmax_raw/vx_customer.csv.gz,data-cube-migration,1651057788133856,1,text/csv,2022-04-27T11:09:48.222Z,2022-04-27T11:09:48.222Z,STANDARD,2022-04-27T11:09:48.222Z,128272,mM2Yg/1vUiDIoqnIS8aLZw==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz?generation=1651057788133856&alt=media,752IWg==,CODD3MeNtPcCEAE=,2022-04-27T11:11:27.215670Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651057788133856,vmax_raw/vx_customer.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/vmax_raw/vx_customer.csv.gz/1651057895441471,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz,vmax_raw/vx_customer.csv.gz,data-cube-migration,1651057895441471,1,text/csv,2022-04-27T11:11:35.528Z,2022-04-27T11:11:35.528Z,STANDARD,2022-04-27T11:11:35.528Z,1169245,JwoihxpgLPQOmAoMxYyhpA==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz?generation=1651057895441471&alt=media,owapJw==,CL+I8vqNtPcCEAE=,2022-04-27T11:11:35.528785Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651057895441471,vmax_raw/vx_customer.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/archive/vmax_raw/vx_customer.csv.gz/1651058072101967,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,1651058072101967,1,text/csv,2022-04-27T11:14:32.205Z,2022-04-27T11:14:32.205Z,STANDARD,2022-04-27T11:14:32.205Z,1169245,JwoihxpgLPQOmAoMxYyhpA==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz?generation=1651058072101967&alt=media,owapJw==,CM/IkM+OtPcCEAE=,2022-04-27T11:14:32.205697Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651058072101967,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,1651057886912321,
storage#object,data-cube-migration/archive/vmax_raw/vx_customer.csv.gz/1651057886912321,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,1651057886912321,1,text/csv,2022-04-27T11:11:27.013Z,2022-04-27T11:11:27.013Z,STANDARD,2022-04-27T11:11:27.013Z,128272,mM2Yg/1vUiDIoqnIS8aLZw==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz?generation=1651057886912321&alt=media,752IWg==,CMG+6faNtPcCEAE=,2022-04-27T11:14:32.205697Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651057886912321,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,,1651058072101967
storage#object,data-cube-migration/vmax_raw/vx_customer.csv.gz/1651057895441471,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz,vmax_raw/vx_customer.csv.gz,data-cube-migration,1651057895441471,1,text/csv,2022-04-27T11:11:35.528Z,2022-04-27T11:11:35.528Z,STANDARD,2022-04-27T11:11:35.528Z,1169245,JwoihxpgLPQOmAoMxYyhpA==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz?generation=1651057895441471&alt=media,owapJw==,CL+I8vqNtPcCEAE=,2022-04-27T11:14:32.405562Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651057895441471,vmax_raw/vx_customer.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/vmax_raw/vx_customer.csv.gz/1651058100000095,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz,vmax_raw/vx_customer.csv.gz,data-cube-migration,1651058100000095,1,text/csv,2022-04-27T11:15:00.088Z,2022-04-27T11:15:00.088Z,STANDARD,2022-04-27T11:15:00.088Z,5495309,aFLOttfbBLS2MGGxcVhjrg==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz?generation=1651058100000095&alt=media,0qApjg==,CN+qt9yOtPcCEAE=,2022-04-27T11:15:00.088609Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651058100000095,vmax_raw/vx_customer.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/archive/micros_sales_raw/mm_location.csv.gz/1651058107695012,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_location.csv.gz,archive/micros_sales_raw/mm_location.csv.gz,data-cube-migration,1651058107695012,1,text/csv,2022-04-27T11:15:07.798Z,2022-04-27T11:15:07.798Z,STANDARD,2022-04-27T11:15:07.798Z,47995,t8W0Z0IqaFvQ8e0T8SC/7w==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_location.csv.gz?generation=1651058107695012&alt=media,qxmjmw==,CKT/jOCOtPcCEAE=,2022-04-27T11:15:07.798084Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651058107695012,archive/micros_sales_raw/mm_location.csv.gz,data-cube-migration,1650971706525589,
storage#object,data-cube-migration/archive/micros_sales_raw/mm_location.csv.gz/1650971706525589,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_location.csv.gz,archive/micros_sales_raw/mm_location.csv.gz,data-cube-migration,1650971706525589,1,text/csv,2022-04-26T11:15:06.629Z,2022-04-26T11:15:06.629Z,STANDARD,2022-04-26T11:15:06.629Z,48108,ODiqNerdQIsE9ai2lzib8Q==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_location.csv.gz?generation=1650971706525589&alt=media,Wma/7g==,CJWP6PDMsfcCEAE=,2022-04-27T11:15:07.798084Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1650971706525589,archive/micros_sales_raw/mm_location.csv.gz,data-cube-migration,,1651058107695012
storage#object,data-cube-migration/micros_sales_raw/mm_location.csv.gz/1651056915799278,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_location.csv.gz,micros_sales_raw/mm_location.csv.gz,data-cube-migration,1651056915799278,1,text/csv,2022-04-27T10:55:15.887Z,2022-04-27T10:55:15.887Z,STANDARD,2022-04-27T10:55:15.887Z,47995,t8W0Z0IqaFvQ8e0T8SC/7w==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_location.csv.gz?generation=1651056915799278&alt=media,qxmjmw==,CO654aeKtPcCEAE=,2022-04-27T11:15:07.998297Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651056915799278,micros_sales_raw/mm_location.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/archive/micros_sales_raw/mm_employee.csv.gz/1650971715698384,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_employee.csv.gz,archive/micros_sales_raw/mm_employee.csv.gz,data-cube-migration,1650971715698384,1,text/csv,2022-04-26T11:15:15.799Z,2022-04-26T11:15:15.799Z,STANDARD,2022-04-26T11:15:15.799Z,2313935,2imzM8XRcOifyCFL8jjFYQ==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_employee.csv.gz?generation=1650971715698384&alt=media,8+5DVw==,CND9l/XMsfcCEAE=,2022-04-27T11:15:17.226002Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1650971715698384,archive/micros_sales_raw/mm_employee.csv.gz,data-cube-migration,,1651058117121673
storage#object,data-cube-migration/archive/micros_sales_raw/mm_employee.csv.gz/1651058117121673,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_employee.csv.gz,archive/micros_sales_raw/mm_employee.csv.gz,data-cube-migration,1651058117121673,1,text/csv,2022-04-27T11:15:17.226Z,2022-04-27T11:15:17.226Z,STANDARD,2022-04-27T11:15:17.226Z,2314656,TCYAhnehJhnA8rqq1hchxQ==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_employee.csv.gz?generation=1651058117121673&alt=media,bx0wpA==,CImtzOSOtPcCEAE=,2022-04-27T11:15:17.226002Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651058117121673,archive/micros_sales_raw/mm_employee.csv.gz,data-cube-migration,1650971715698384,
storage#object,data-cube-migration/micros_sales_raw/mm_employee.csv.gz/1651056670632996,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_employee.csv.gz,micros_sales_raw/mm_employee.csv.gz,data-cube-migration,1651056670632996,1,text/csv,2022-04-27T10:51:10.723Z,2022-04-27T10:51:10.723Z,STANDARD,2022-04-27T10:51:10.723Z,2314656,TCYAhnehJhnA8rqq1hchxQ==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_employee.csv.gz?generation=1651056670632996&alt=media,bx0wpA==,CKTY7bKJtPcCEAE=,2022-04-27T11:15:17.422474Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651056670632996,micros_sales_raw/mm_employee.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/archive/micros_sales_raw/mm_major_group.csv.gz/1651058122136899,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_major_group.csv.gz,archive/micros_sales_raw/mm_major_group.csv.gz,data-cube-migration,1651058122136899,1,text/csv,2022-04-27T11:15:22.237Z,2022-04-27T11:15:22.237Z,STANDARD,2022-04-27T11:15:22.237Z,114834,zORqpZXfhmTpmeNgXs8cxA==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_major_group.csv.gz?generation=1651058122136899&alt=media,T+s1bQ==,CMO6/uaOtPcCEAE=,2022-04-27T11:15:22.237083Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651058122136899,archive/micros_sales_raw/mm_major_group.csv.gz,data-cube-migration,1650971720893107,
storage#object,data-cube-migration/archive/micros_sales_raw/mm_major_group.csv.gz/1650971720893107,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_major_group.csv.gz,archive/micros_sales_raw/mm_major_group.csv.gz,data-cube-migration,1650971720893107,1,text/csv,2022-04-26T11:15:21.008Z,2022-04-26T11:15:21.008Z,STANDARD,2022-04-26T11:15:21.008Z,114834,fN+UrbaI4dUbRv7KmvVoOg==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_major_group.csv.gz?generation=1650971720893107&alt=media,jru5uQ==,CLOF1ffMsfcCEAE=,2022-04-27T11:15:22.237083Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1650971720893107,archive/micros_sales_raw/mm_major_group.csv.gz,data-cube-migration,,1651058122136899
storage#object,data-cube-migration/micros_sales_raw/mm_major_group.csv.gz/1651056916171354,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_major_group.csv.gz,micros_sales_raw/mm_major_group.csv.gz,data-cube-migration,1651056916171354,1,text/csv,2022-04-27T10:55:16.260Z,2022-04-27T10:55:16.260Z,STANDARD,2022-04-27T10:55:16.260Z,114834,zORqpZXfhmTpmeNgXs8cxA==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_major_group.csv.gz?generation=1651056916171354&alt=media,T+s1bQ==,CNqU+KeKtPcCEAE=,2022-04-27T11:15:22.443661Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651056916171354,micros_sales_raw/mm_major_group.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/archive/micros_sales_raw/mm_family_group.csv.gz/1651058133922791,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_family_group.csv.gz,archive/micros_sales_raw/mm_family_group.csv.gz,data-cube-migration,1651058133922791,1,text/csv,2022-04-27T11:15:34.023Z,2022-04-27T11:15:34.023Z,STANDARD,2022-04-27T11:15:34.023Z,561430,laTL1Cl0VIfvwUd61fThyQ==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_family_group.csv.gz?generation=1651058133922791&alt=media,F/VmVA==,COfnzeyOtPcCEAE=,2022-04-27T11:15:34.023928Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651058133922791,archive/micros_sales_raw/mm_family_group.csv.gz,data-cube-migration,1650971728510629,
storage#object,data-cube-migration/archive/micros_sales_raw/mm_family_group.csv.gz/1650971728510629,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_family_group.csv.gz,archive/micros_sales_raw/mm_family_group.csv.gz,data-cube-migration,1650971728510629,1,text/csv,2022-04-26T11:15:28.609Z,2022-04-26T11:15:28.609Z,STANDARD,2022-04-26T11:15:28.609Z,561430,YvZkQRRcDYPzBXk//0EMuQ==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_family_group.csv.gz?generation=1650971728510629&alt=media,E4VsLA==,CKX9pfvMsfcCEAE=,2022-04-27T11:15:34.023928Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1650971728510629,archive/micros_sales_raw/mm_family_group.csv.gz,data-cube-migration,,1651058133922791
storage#object,data-cube-migration/micros_sales_raw/mm_family_group.csv.gz/1651056662221355,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_family_group.csv.gz,micros_sales_raw/mm_family_group.csv.gz,data-cube-migration,1651056662221355,1,text/csv,2022-04-27T10:51:02.306Z,2022-04-27T10:51:02.306Z,STANDARD,2022-04-27T10:51:02.306Z,561430,laTL1Cl0VIfvwUd61fThyQ==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_family_group.csv.gz?generation=1651056662221355&alt=media,F/VmVA==,CKuk7K6JtPcCEAE=,2022-04-27T11:15:34.224326Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651056662221355,micros_sales_raw/mm_family_group.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/archive/micros_sales_raw/mm_discount.csv.gz/1650971768105556,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_discount.csv.gz,archive/micros_sales_raw/mm_discount.csv.gz,data-cube-migration,1650971768105556,1,text/csv,2022-04-26T11:16:08.208Z,2022-04-26T11:16:08.208Z,STANDARD,2022-04-26T11:16:08.208Z,3026732,CNpcXYQyOFpRIz3A6yZ1Yw==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_discount.csv.gz?generation=1650971768105556&alt=media,qK7hEg==,CNTUlo7NsfcCEAE=,2022-04-27T11:15:55.744099Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1650971768105556,archive/micros_sales_raw/mm_discount.csv.gz,data-cube-migration,,1651058155643881
storage#object,data-cube-migration/archive/micros_sales_raw/mm_discount.csv.gz/1651058155643881,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_discount.csv.gz,archive/micros_sales_raw/mm_discount.csv.gz,data-cube-migration,1651058155643881,1,text/csv,2022-04-27T11:15:55.744Z,2022-04-27T11:15:55.744Z,STANDARD,2022-04-27T11:15:55.744Z,3027259,Io9yJEljE570r06ZbGQ/Lw==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_discount.csv.gz?generation=1651058155643881&alt=media,f95djA==,COnH+/aOtPcCEAE=,2022-04-27T11:15:55.744099Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651058155643881,archive/micros_sales_raw/mm_discount.csv.gz,data-cube-migration,1650971768105556,
storage#object,data-cube-migration/micros_sales_raw/mm_discount.csv.gz/1651056658307569,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_discount.csv.gz,micros_sales_raw/mm_discount.csv.gz,data-cube-migration,1651056658307569,1,text/csv,2022-04-27T10:50:58.395Z,2022-04-27T10:50:58.395Z,STANDARD,2022-04-27T10:50:58.395Z,3027259,Io9yJEljE570r06ZbGQ/Lw==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_discount.csv.gz?generation=1651056658307569&alt=media,f95djA==,CPGz/ayJtPcCEAE=,2022-04-27T11:15:55.941161Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651056658307569,micros_sales_raw/mm_discount.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/archive/vmax_raw/vx_customer.csv.gz/1651058072101967,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,1651058072101967,1,text/csv,2022-04-27T11:14:32.205Z,2022-04-27T11:14:32.205Z,STANDARD,2022-04-27T11:14:32.205Z,1169245,JwoihxpgLPQOmAoMxYyhpA==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz?generation=1651058072101967&alt=media,owapJw==,CM/IkM+OtPcCEAE=,2022-04-27T11:16:49.926301Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651058072101967,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,,1651058209824594
storage#object,data-cube-migration/archive/vmax_raw/vx_customer.csv.gz/1651058209824594,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,1651058209824594,1,text/csv,2022-04-27T11:16:49.926Z,2022-04-27T11:16:49.926Z,STANDARD,2022-04-27T11:16:49.926Z,5495309,aFLOttfbBLS2MGGxcVhjrg==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz?generation=1651058209824594&alt=media,0qApjg==,CNK+5pCPtPcCEAE=,2022-04-27T11:16:49.926301Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651058209824594,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,1651058072101967,
